Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,organization,Gender,Gender encode
Carman Neustaedter,"Dean, Faculty of Communication, Art, and Technology, Simon Fraser University",52,161,9315,4827,"Dean, Faculty of Communication, Art, and Technology",male,1
Andrés Monroy-Hernández,"Princeton University, Computer Science",38,66,9309,4733,"Princeton University, Computer Science",female,0
Sudheesh Singanamalla,"PhD Candidate, University of Washington",8,8,9269,9195,University of Washington,female,0
Yang Li,"Senior Staff Research Scientist, Google",44,116,9260,5091,,female,0
Maria Kozhevnikov,National University of Singapore,33,51,9154,3548,National University of Singapore,male,1
Younghwa Gabe Lee,Miami University,28,37,9139,3819,Miami University,female,0
Mike Wu,"CTO of Loupe, PhD from University of Toronto, HCI Researcher",49,130,9034,2961,University of Toronto,female,0
Reinhold Behringer,Knorr-Bremse GmbH,23,41,8994,3255,,female,0
Florian 'Floyd' Mueller,Monash University,49,176,8965,4930,Monash University,female,0
Jianjiang Feng (冯建江),"Department of Automation, Tsinghua University",49,102,8964,5454,Tsinghua University,female,0
Giulio Jacucci,University of Helsinki,51,152,8960,3698,University of Helsinki,female,0
Enkelejda Kasneci,Professor at the Technical University of Munich,51,131,8940,7828,the Technical University of Munich,male,1
Feng Liu,Associate Professor in Computer Science at Portland State University,43,65,8912,5264,Portland State University,male,1
Frank Shipman,"Professor, Department of Computer Science and Engineering, Texas A&M University",51,135,8911,1406,Texas A&M University,male,1
Professor Lei Ren,Beihang University,43,90,8872,5891,Beihang University,male,1
Mark W. Newman,"Professor of Information, University of Michigan",48,101,8852,2670,University of Michigan,female,0
Steven J. Jackson,"Professor of Information Science and Science and Technology Studies, Cornell University",37,74,8849,5302,Cornell University,female,0
Jan Borchers,"Professor of Computer Science, RWTH Aachen University",45,136,8841,2386,RWTH Aachen University,male,1
Jenny Waycott,"Computing and Information Systems, The University of Melbourne",43,108,8829,4169,The University of Melbourne,male,1
Per Ola Kristensson,"Professor of Interactive Systems Engineering, Department of Engineering, University of Cambridge",52,125,8795,5002,University of Cambridge,male,1
Patrick Gage Kelley,"Google, University of New Mexico, Carnegie Mellon University",37,54,8754,3734,University of New Mexico,female,0
Kai Lim,Hong Kong Polytechnic Univesity,38,52,8740,4144,Hong Kong Polytechnic Univesity,male,1
Zhenchang Xing,"Senior Principal Research Scientist, CSIRO's Data61 & Australian National University",50,139,8735,6334,Data61 & Australian National University,female,0
Morten Hertzum,"Professor of digital technologies and welfare, Roskilde University",46,116,8718,3208,Roskilde University,female,0
"Amy L. Baylor, Ph.D","Program Director, National Science Foundation",44,69,8715,2566,,female,0
Çağatay Demiralp,MIT CSAIL,26,38,8711,6551,,male,1
Philippe Palanque,"Professor in Computer Science, ICS-IRIT, Université Paul Sabatier - Toulouse III",51,170,8664,2380,,male,1
Petra Isenberg,"Research Director, Inria, France",46,88,8612,4238,,female,0
Katherine Isbister,"Professor, University of California Santa Cruz",43,124,8604,4531,University of California,female,0
Enrico Rukzio,Ulm University,47,176,8557,4374,Ulm University,male,1
Yla Tausczik,Econometrica Inc.,18,26,8545,5264,,female,0
Karon MacLean,"Professor of Computer Science, University of British Columbia",52,116,8460,2975,University of British Columbia,male,1
David Redmiles,"Professor of Informatics, University of California, Irvine",47,112,8458,1824,University of California,female,0
Antonio Camurri,"Professor, University of Genoa, Italy",41,143,8441,2785,University of Genoa,female,0
Paul van Schaik,"Professor of Psychology, Teesside University",49,117,8386,3658,Teesside University,female,0
Amanda Lee Hughes,"Associate Professor, Brigham Young University",24,32,8382,3157,Brigham Young University,female,0
Marko Balabanovic,"Technology, Our Future Health",25,26,8378,1045,,female,0
Derek L. Hansen,"Professor of Electrical & Computer Engineering, Brigham Young University",39,69,8359,3686,Brigham Young University,female,0
Shyong (Tony) Lam,University of Minnesota,27,32,8326,1983,University of Minnesota,female,0
Yuri Rahmanto,"Lecturer, Universitas Teknokrat Indonesia",41,56,8311,8310,,male,1
Asbjørn Følstad,SINTEF,37,72,8306,6666,,male,1
Simone Stumpf,University of Glasgow,30,65,8302,6691,University of Glasgow,male,1
Cecilia Baranauskas,"Professor of Computer Science, University of Campinas - UNICAMP",35,176,8288,2848,,female,0
Donald J Patterson,"Professor of Computer Science, Westmont College",30,43,8278,1670,Westmont College,female,0
Koji Yatani,University of Tokyo,44,71,8253,3527,University of Tokyo,male,1
Michael Rohs,"Professor of Computer Science, University of Hannover, Leibniz Universität Hannover",47,113,8190,2119,University of Hannover,female,0
Pourang Irani,University of British Columbia (Okanagan),54,147,8188,4263,University of British Columbia,female,0
Harry Hochheiser,"Associate Professor of Biomedical Informatics, University of Pittsburgh",39,85,8125,4195,University of Pittsburgh,female,0
Cagatay Basdogan,Koc University,45,96,8107,2370,Koc University,male,1
Bruce N. Walker,Georgia Institute of Technology,47,123,8090,3284,Georgia Institute of Technology,male,1
David Smahel,"Interdisciplinary Research Team on Internet and Society (irtis.muni.cz), Masaryk University",35,87,7988,4493,Masaryk University,male,1
Denis Gillet,Ecole Polytechnique Fédérale de Lausanne (EPFL),44,177,7985,3219,,male,1
jean scholtz,Pacific Northwest National Laboratory,40,97,7961,2029,,female,0
hari sundaram,University of Illinois at Urbana-Champaign,43,110,7931,1838,University of Illinois,male,1
Pierre Dragicevic,Inria,46,79,7874,4163,,male,1
Antonella De Angeli,University of Bolzano Italy,47,117,7847,2653,University of Bolzano,male,1
Andreas Nürnberger,"Professor of Data and Knowledge Engineering, Otto-von-Guericke-Universität Magdeburg",36,137,7838,3591,,male,1
Li-Yi Wei,Adobe Research,41,66,7833,2261,,female,0
Shalini De Mello,Director of Research & Distinguished Research Scientist - Nvidia Research,37,58,7817,6034,,male,1
R K E Bellamy,IBM Research,40,86,7805,4876,,male,1
Saleema Amershi,Microsoft Research,32,57,7764,5879,,male,1
Emerson Murphy-Hill,"Research Scientist at Google and Adjunct Associate Professor of Computer Science, North Carolina",43,107,7756,4498,,female,0
Michael Horn,"Professor of Computer Science and Learning Sciences, Northwestern University",36,76,7727,4389,Northwestern University,female,0
Darius Burschka,"Professor of Computer Engineering, Technical University of Munich",35,68,7720,2522,Technical University of Munich,female,0
Martin Gibbs,"Computing and Information Systems, The University of Melbourne",48,122,7679,3622,The University of Melbourne,male,1
Panayiotis Zaphiris,"Rector, Professor, Cyprus University of Technology, Cyprus Interaction Lab",44,115,7656,3046,Cyprus University of Technology,female,0
Fulvio Corno,Full Professor at Politecnico di Torino,44,170,7645,1884,,male,1
Qadhli Jafar Adrian,Assistant Professor at Universitas Teknokrat Indonesia,32,34,7590,7481,,female,0
Natasa Milic-Frayling,"Microsoft Research Ltd, Cambridge, UK",45,92,7586,1956,,male,1
Anne Adams,"Professor, Open University",31,63,7576,2352,Open University,female,0
Rita Orji,"Canada Research Chair, Faculty of Computer Science, Dalhousie University",44,113,7563,6252,Faculty of Computer Science,female,0
Shamsi T. Iqbal,"Principal Researcher, Microsoft Research",38,63,7542,4541,,male,1
Gun A. Lee,University of South Australia,41,106,7520,5729,University of South Australia,female,0
Laura Granka,"Google, Inc",17,21,7514,2199,,female,0
Andreas Butz,"Professor of Computer Science, University of Munich (LMU)",47,142,7503,2992,University of Munich,male,1
Steven Dow,"Associate Professor of Cognitive Science, UC San Diego",48,102,7470,3842,,male,1
Johannes Schöning,"St. Gallen University, ITI/LARSyS, UCL",46,129,7440,3600,St. Gallen University,male,1
Lynda Hardman,"Principal Researcher & Strategist, Centrum Wiskunde & Informatica; Professor of Multimedia Discourse",39,107,7425,939,,female,0
Henry B.L. Duh,"Professor & Director, Hong Kong Polytechnic University",34,76,7419,3614,Hong Kong Polytechnic University,female,0
Leila Takayama,Hoku Labs,41,66,7415,3267,,female,0
Irene Kotsia,Cogitat.io,29,37,7407,5425,,male,1
Mark D Gross,"Professor of Computer Science, University of Colorado Boulder",45,129,7402,1957,University of Colorado,female,0
David Kaufman,Associate Professor of Medical Informatics SUNY Downstate Health Sciences University,45,111,7386,2009,Medical Informatics SUNY Downstate Health Sciences University,female,0
Yuksel Goktas,"Professor of Software Engineering, Ataturk University, Erzurum, TURKEY",44,97,7354,4470,Ataturk University,female,0
Tiziana Catarci,"Professor of Computer Engineering, Sapienza - Università di Roma",41,138,7342,1539,,male,1
Richard D. Johnson,Washington State University,29,44,7316,2971,Washington State University,female,0
David Kirk,"Professor of Human-Centred Design, Newcastle University",41,97,7307,2968,Newcastle University,female,0
Evert Jan van Loenen,"Philips Research, TU/e",46,115,7287,1673,,male,1
Shijian Li,zhejiang university,40,70,7266,4035,zhejiang university,male,1
Joi L. Moore,"School of Information Science & Learning Technologies, University of Missouri",22,37,7244,3930,School of Information Science & Learning Technologies,male,1
"Ellen Yi-Luen Do, 杜宜倫","Professor, ATLAS Institute, University of Colorado Boulder",43,129,7220,2647,"ATLAS Institute,",female,0
Zhigang Deng,"Moores Professor of Computer Science, University of Houston",43,111,7198,3171,University of Houston,female,0
Hongbo Fu,"Professor, School of Creative Media, City University of Hong Kong",45,113,7153,4780,School of Creative Media,male,1
Jeffrey Nichols,Apple,46,104,7102,2792,,female,0
Suya You,USC,41,91,7090,2568,,female,0
Kaisa Väänänen,"Professor, Tampere University",40,110,7051,3263,Tampere University,male,1
Harald Reiterer,"Professor of Human-Computer Interaction, University of Konstanz, Germany",46,154,7036,2867,,female,0
Lale Akarun,"Professor of Computer Engineering, Bogazici University",42,97,7002,1981,Bogazici University,male,1
Khai N. Truong,University of Toronto,47,105,6992,2320,University of Toronto,male,1
Gerard Jounghyun Kim,Korea University,41,114,6990,2694,Korea University,female,0
Michael Weber,"Professor, Ulm University",43,134,6987,2606,Ulm University,male,1
Barton A. Smith,Amateur Radio Emergency Service,41,81,6968,1118,,male,1
Sonia Chiasson,"Professor, School of Computer Science, Carleton University",37,82,6940,2919,School of Computer Science,male,1
Paul Marshall,"Associate Professor (Reader), University of Bristol",45,87,6923,3003,University of Bristol,male,1
Janet C Read,University of Central Lancashire,39,132,6915,2827,University of Central Lancashire,male,1
Brian Ondov,National Library of Medicine,16,17,6915,5093,,female,0
Jesper Kjeldskov,"Professor, Associate Dean of Research, Faculty of IT, Monash University",40,114,6912,2262,Faculty of IT,female,0
Colin Potts,"Associate Professor of Interactive Computing, Georgia Institute of Technology",36,56,6904,930,Georgia Institute of Technology,female,0
Tetsuya Sakai,Waseda University,44,159,6884,2632,Waseda University,male,1
Juan Jimenez Garcia,Assistant Professor - Universidad ICESI,39,165,6870,1952,,male,1
Peta Wyeth,University of Technology Sydney,34,68,6866,2968,University of Technology Sydney,male,1
Christian Holz,"Assistant Professor, ETH Zurich",44,93,6841,5196,,female,0
Song Dawei,Open University,42,129,6839,4086,Open University,female,0
Cathleen Wharton,Oracle Corporation,17,21,6811,1268,,female,0
Zhiwei Zhu,"Senior Computer Scientist, SRI International Sarnoff",36,52,6790,2214,,male,1
Nikolaos Avouris,"Professor, University of Patras",43,150,6789,1968,University of Patras,female,0
Jesus Favela,"Professor of Computer Science, CICESE",41,145,6719,2053,,female,0
Dean Karavite,"Department of Biomedical and Health Informatics, The Children's Hospital of Philadelphia",25,40,6678,2369,,male,1
Massimo Zancanaro,University of Trento and Fondazione Bruno Kessler - FBK,44,136,6672,2032,University of Trento,male,1
Q.Vera Liao,Microsoft Research,38,75,6658,6198,,male,1
William Jones,University of Washington,37,60,6624,1031,University of Washington,female,0
Marianna Obrist,"University College London, Department of Computer Science",42,104,6613,4293,University College London,male,1
Matt Jones,"Professor of Computer Science, Computational Foundry, Swansea University",38,122,6593,1775,Swansea University,male,1
Juho Kim,Associate Professor at KAIST,30,78,6570,4470,,male,1
Yusuke Sugano,"Institute of Industrial Science, The University of Tokyo",35,50,6541,4692,Institute of Industrial Science,male,1
Radhika Santhanam,University of Oklahoma,28,37,6525,2812,University of Oklahoma,female,0
Michael Haller,Free University of Bozen-Bolzano,43,126,6509,2382,Free University,male,1
